id,zh,en
<Audio>,声音,Audio
<Back>,返回,Back
<BGMVolume>,音乐音量,BGMVolume
<Cancel>,取消,Cancel
<Chinese>,中文,Chinese
<Completed>,完成,Completed
<Control>,控制,Control
<Create>,创建,Create
<Disable>,关闭,Disable
<English>,英文,English
<Enable>,开启,Enable
<FullScreen>,全屏,FullScreen
<Graphic>,图形,Graphic
<HostGame>,创建游戏,HostGame
<IP>,IP地址,IP
<JoinGame>,加入游戏,JoinGame
<Join>,加入,Join
<Language>,语言,Language
<MaxClient>,人数限制,MaxClient
<MaxFPS>,最大帧率(FPS),MaxFPS
<MasterVolume>,总音量,MasterVolume
<MultiPlay>,多人游戏,MultiPlay
<Next>,下一步,Next
<Other>,其他,Other
<Port>,端口,Port
<Quit>,退出,Quit
<Resolution>,分辨率,Resolution
<Save>,保存,Save
<ScreenVibration>,屏幕震动,ScreenVibration
<Setting>,设置,Setting
<SFXVolume>,音效音量,SFXVolume
<SinglePlay>,开始游戏,SinglePlay
<V-Sync>,垂直同步,V-Sync